agents,solveMILP,solveConicGibbsGreedyDynamic,solveGreedy
"[(0, 75, 0.5), (1, 50, 0.5), (2, 50, 0.25), (3, 25, 0.25), (4, 75, 0.75), (5, 25, 0.25), (6, 25, 0.5), (7, 25, 0.75), (8, 75, 0.5), (9, 75, 0.25), (10, 75, 0.5), (11, 25, 0.5), (12, 75, 0.75), (13, 75, 0.75), (14, 25, 0.25), (15, 75, 0.75), (16, 50, 0.75), (17, 25, 0.5), (18, 75, 0.75), (19, 75, 0.25), (20, 25, 0.25), (21, 50, 0.5), (22, 75, 0.75), (23, 25, 0.25), (24, 25, 0.25), (25, 50, 0.75), (26, 50, 0.5), (27, 75, 0.75), (28, 25, 0.75), (29, 50, 0.5), (30, 75, 0.75), (31, 50, 0.5), (32, 75, 0.75), (33, 25, 0.75), (34, 75, 0.25), (35, 25, 0.25), (36, 50, 0.25), (37, 25, 0.75), (38, 75, 0.75), (39, 25, 0.75), (40, 25, 0.5), (41, 25, 0.5), (42, 50, 0.75), (43, 25, 0.25), (44, 75, 0.5), (45, 50, 0.5), (46, 75, 0.25), (47, 25, 0.75), (48, 25, 0.25), (49, 75, 0.5)]",639.1365269904002,656.4459968345711,544.1406171154066
"[(0, 50, 0.75), (1, 50, 0.25), (2, 25, 0.75), (3, 25, 0.25), (4, 25, 0.25), (5, 75, 0.5), (6, 50, 0.75), (7, 50, 0.25), (8, 75, 0.5), (9, 50, 0.5), (10, 75, 0.25), (11, 50, 0.5), (12, 25, 0.75), (13, 75, 0.25), (14, 75, 0.25), (15, 75, 0.75), (16, 25, 0.75), (17, 50, 0.75), (18, 50, 0.75), (19, 75, 0.25), (20, 50, 0.5), (21, 75, 0.5), (22, 50, 0.5), (23, 75, 0.25), (24, 50, 0.75), (25, 25, 0.5), (26, 25, 0.25), (27, 50, 0.25), (28, 25, 0.5), (29, 25, 0.25), (30, 75, 0.75), (31, 25, 0.25), (32, 50, 0.75), (33, 75, 0.25), (34, 50, 0.25), (35, 75, 0.5), (36, 50, 0.5), (37, 75, 0.25), (38, 25, 0.75), (39, 50, 0.75), (40, 25, 0.5), (41, 75, 0.25), (42, 50, 0.25), (43, 25, 0.25), (44, 50, 0.5), (45, 25, 0.25), (46, 25, 0.25), (47, 50, 0.25), (48, 75, 0.25), (49, 75, 0.25)]",479.1396860326506,483.9685752400884,435.93749785394505
"[(0, 25, 0.25), (1, 50, 0.25), (2, 25, 0.5), (3, 75, 0.5), (4, 50, 0.25), (5, 75, 0.75), (6, 75, 0.5), (7, 25, 0.75), (8, 75, 0.25), (9, 75, 0.5), (10, 75, 0.75), (11, 25, 0.75), (12, 25, 0.5), (13, 75, 0.25), (14, 75, 0.75), (15, 50, 0.25), (16, 50, 0.75), (17, 25, 0.25), (18, 75, 0.5), (19, 75, 0.75), (20, 25, 0.25), (21, 50, 0.25), (22, 25, 0.5), (23, 75, 0.5), (24, 25, 0.5), (25, 75, 0.5), (26, 25, 0.25), (27, 25, 0.5), (28, 50, 0.5), (29, 50, 0.75), (30, 50, 0.75), (31, 75, 0.5), (32, 75, 0.5), (33, 25, 0.25), (34, 25, 0.5), (35, 50, 0.5), (36, 50, 0.25), (37, 50, 0.5), (38, 25, 0.75), (39, 75, 0.75), (40, 75, 0.75), (41, 25, 0.5), (42, 75, 0.25), (43, 25, 0.25), (44, 50, 0.75), (45, 75, 0.75), (46, 50, 0.25), (47, 75, 0.75), (48, 75, 0.25), (49, 25, 0.75)]",601.7915325099282,618.7669975654939,503.124996098146
"[(0, 75, 0.25), (1, 75, 0.5), (2, 50, 0.75), (3, 75, 0.5), (4, 25, 0.75), (5, 50, 0.25), (6, 25, 0.5), (7, 50, 0.75), (8, 25, 0.75), (9, 50, 0.25), (10, 50, 0.25), (11, 75, 0.75), (12, 75, 0.5), (13, 50, 0.25), (14, 50, 0.5), (15, 75, 0.25), (16, 25, 0.25), (17, 25, 0.75), (18, 50, 0.25), (19, 25, 0.5), (20, 75, 0.25), (21, 25, 0.75), (22, 75, 0.75), (23, 25, 0.5), (24, 25, 0.75), (25, 25, 0.5), (26, 25, 0.25), (27, 75, 0.5), (28, 25, 0.5), (29, 75, 0.25), (30, 50, 0.25), (31, 75, 0.25), (32, 50, 0.25), (33, 75, 0.25), (34, 25, 0.25), (35, 50, 0.75), (36, 25, 0.75), (37, 75, 0.75), (38, 25, 0.75), (39, 75, 0.25), (40, 25, 0.5), (41, 50, 0.5), (42, 50, 0.5), (43, 25, 0.75), (44, 50, 0.25), (45, 75, 0.25), (46, 50, 0.25), (47, 75, 0.5), (48, 25, 0.25), (49, 75, 0.5)]",469.7012349007948,477.9788228259931,430.4687321206993
"[(0, 25, 0.25), (1, 25, 0.25), (2, 75, 0.75), (3, 75, 0.25), (4, 25, 0.5), (5, 50, 0.25), (6, 75, 0.25), (7, 50, 0.75), (8, 25, 0.75), (9, 25, 0.5), (10, 75, 0.75), (11, 50, 0.25), (12, 75, 0.25), (13, 75, 0.25), (14, 25, 0.75), (15, 75, 0.75), (16, 50, 0.25), (17, 50, 0.75), (18, 75, 0.25), (19, 75, 0.5), (20, 25, 0.5), (21, 50, 0.75), (22, 75, 0.75), (23, 25, 0.25), (24, 25, 0.5), (25, 75, 0.5), (26, 25, 0.5), (27, 50, 0.5), (28, 25, 0.5), (29, 25, 0.25), (30, 75, 0.25), (31, 50, 0.75), (32, 25, 0.75), (33, 75, 0.25), (34, 25, 0.5), (35, 50, 0.25), (36, 75, 0.75), (37, 75, 0.25), (38, 75, 0.75), (39, 25, 0.5), (40, 25, 0.5), (41, 25, 0.75), (42, 25, 0.5), (43, 50, 0.25), (44, 25, 0.25), (45, 25, 0.75), (46, 50, 0.5), (47, 25, 0.25), (48, 25, 0.25), (49, 75, 0.25)]",530.6716738586226,556.9874786614466,430.468747822962
"[(0, 25, 0.75), (1, 25, 0.25), (2, 50, 0.5), (3, 75, 0.75), (4, 25, 0.5), (5, 25, 0.25), (6, 50, 0.75), (7, 25, 0.75), (8, 50, 0.25), (9, 25, 0.75), (10, 25, 0.25), (11, 25, 0.25), (12, 75, 0.75), (13, 25, 0.75), (14, 75, 0.25), (15, 50, 0.25), (16, 25, 0.75), (17, 25, 0.75), (18, 75, 0.5), (19, 50, 0.25), (20, 50, 0.25), (21, 25, 0.75), (22, 50, 0.5), (23, 75, 0.25), (24, 75, 0.25), (25, 75, 0.5), (26, 25, 0.25), (27, 50, 0.25), (28, 50, 0.5), (29, 50, 0.5), (30, 75, 0.5), (31, 50, 0.5), (32, 75, 0.5), (33, 75, 0.25), (34, 25, 0.5), (35, 75, 0.75), (36, 50, 0.75), (37, 50, 0.75), (38, 75, 0.5), (39, 25, 0.75), (40, 25, 0.5), (41, 75, 0.25), (42, 25, 0.5), (43, 75, 0.25), (44, 75, 0.5), (45, 50, 0.75), (46, 25, 0.5), (47, 75, 0.5), (48, 50, 0.5), (49, 25, 0.5)]",484.7153398776006,498.4268840305307,439.8437328514473
"[(0, 75, 0.75), (1, 75, 0.75), (2, 75, 0.25), (3, 50, 0.25), (4, 50, 0.5), (5, 25, 0.75), (6, 25, 0.75), (7, 25, 0.5), (8, 25, 0.5), (9, 75, 0.5), (10, 75, 0.5), (11, 25, 0.5), (12, 75, 0.25), (13, 25, 0.25), (14, 50, 0.75), (15, 50, 0.25), (16, 75, 0.75), (17, 25, 0.25), (18, 50, 0.5), (19, 75, 0.25), (20, 50, 0.5), (21, 50, 0.75), (22, 25, 0.25), (23, 25, 0.75), (24, 25, 0.75), (25, 75, 0.75), (26, 50, 0.5), (27, 75, 0.75), (28, 75, 0.75), (29, 75, 0.75), (30, 50, 0.75), (31, 50, 0.25), (32, 25, 0.75), (33, 50, 0.25), (34, 50, 0.75), (35, 75, 0.5), (36, 50, 0.75), (37, 75, 0.5), (38, 75, 0.5), (39, 50, 0.25), (40, 25, 0.5), (41, 50, 0.5), (42, 25, 0.5), (43, 50, 0.75), (44, 25, 0.75), (45, 25, 0.25), (46, 50, 0.25), (47, 50, 0.5), (48, 25, 0.75), (49, 50, 0.25)]",596.9301421569539,612.065856613696,528.5156028746854
"[(0, 25, 0.25), (1, 75, 0.25), (2, 50, 0.25), (3, 75, 0.25), (4, 50, 0.75), (5, 75, 0.75), (6, 25, 0.5), (7, 75, 0.5), (8, 75, 0.5), (9, 25, 0.25), (10, 25, 0.75), (11, 25, 0.25), (12, 25, 0.75), (13, 50, 0.5), (14, 25, 0.25), (15, 50, 0.5), (16, 50, 0.25), (17, 75, 0.5), (18, 75, 0.25), (19, 75, 0.25), (20, 25, 0.25), (21, 75, 0.75), (22, 50, 0.75), (23, 75, 0.5), (24, 75, 0.5), (25, 75, 0.25), (26, 25, 0.75), (27, 50, 0.5), (28, 75, 0.5), (29, 50, 0.5), (30, 25, 0.25), (31, 25, 0.5), (32, 25, 0.25), (33, 25, 0.25), (34, 25, 0.75), (35, 50, 0.5), (36, 50, 0.25), (37, 25, 0.25), (38, 25, 0.75), (39, 25, 0.25), (40, 25, 0.5), (41, 25, 0.5), (42, 75, 0.75), (43, 50, 0.75), (44, 75, 0.25), (45, 25, 0.75), (46, 50, 0.25), (47, 50, 0.75), (48, 25, 0.5), (49, 50, 0.75)]",494.14184988393913,500.3255547451736,436.7187289376967
"[(0, 75, 0.5), (1, 25, 0.75), (2, 75, 0.75), (3, 75, 0.75), (4, 75, 0.25), (5, 50, 0.5), (6, 50, 0.25), (7, 75, 0.25), (8, 25, 0.75), (9, 50, 0.75), (10, 50, 0.75), (11, 50, 0.75), (12, 50, 0.25), (13, 25, 0.25), (14, 25, 0.75), (15, 25, 0.75), (16, 25, 0.75), (17, 50, 0.75), (18, 50, 0.5), (19, 25, 0.75), (20, 75, 0.25), (21, 25, 0.75), (22, 50, 0.25), (23, 25, 0.25), (24, 25, 0.5), (25, 25, 0.5), (26, 75, 0.5), (27, 75, 0.25), (28, 75, 0.75), (29, 25, 0.5), (30, 75, 0.25), (31, 50, 0.75), (32, 75, 0.25), (33, 25, 0.75), (34, 50, 0.75), (35, 50, 0.25), (36, 75, 0.75), (37, 75, 0.25), (38, 50, 0.75), (39, 50, 0.5), (40, 50, 0.25), (41, 75, 0.5), (42, 25, 0.5), (43, 75, 0.5), (44, 25, 0.75), (45, 25, 0.25), (46, 75, 0.5), (47, 25, 0.25), (48, 75, 0.25), (49, 50, 0.75)]",545.5916019197125,556.4656496485712,459.7656241556284
"[(0, 75, 0.25), (1, 75, 0.75), (2, 25, 0.25), (3, 75, 0.75), (4, 75, 0.5), (5, 50, 0.75), (6, 25, 0.25), (7, 75, 0.75), (8, 25, 0.5), (9, 50, 0.25), (10, 75, 0.75), (11, 25, 0.25), (12, 75, 0.5), (13, 25, 0.5), (14, 50, 0.25), (15, 75, 0.75), (16, 25, 0.25), (17, 25, 0.25), (18, 50, 0.75), (19, 50, 0.25), (20, 75, 0.5), (21, 75, 0.25), (22, 75, 0.25), (23, 25, 0.25), (24, 75, 0.5), (25, 50, 0.25), (26, 50, 0.5), (27, 75, 0.75), (28, 75, 0.25), (29, 25, 0.75), (30, 75, 0.5), (31, 75, 0.75), (32, 25, 0.5), (33, 50, 0.5), (34, 50, 0.5), (35, 50, 0.75), (36, 50, 0.25), (37, 75, 0.25), (38, 50, 0.5), (39, 50, 0.5), (40, 75, 0.75), (41, 25, 0.25), (42, 50, 0.5), (43, 75, 0.5), (44, 50, 0.75), (45, 50, 0.75), (46, 75, 0.75), (47, 75, 0.5), (48, 75, 0.75), (49, 25, 0.25)]",657.8082094677834,681.498208879892,559.3749936467157
"[(0, 75, 0.75), (1, 75, 0.5), (2, 25, 0.75), (3, 25, 0.25), (4, 50, 0.5), (5, 75, 0.75), (6, 75, 0.5), (7, 25, 0.5), (8, 50, 0.25), (9, 75, 0.75), (10, 25, 0.5), (11, 25, 0.5), (12, 75, 0.75), (13, 50, 0.75), (14, 25, 0.5), (15, 25, 0.25), (16, 25, 0.5), (17, 75, 0.5), (18, 50, 0.25), (19, 75, 0.25), (20, 25, 0.5), (21, 50, 0.25), (22, 75, 0.25), (23, 25, 0.75), (24, 25, 0.25), (25, 75, 0.25), (26, 25, 0.75), (27, 75, 0.25), (28, 50, 0.75), (29, 75, 0.5), (30, 50, 0.5), (31, 25, 0.75), (32, 25, 0.25), (33, 75, 0.75), (34, 75, 0.75), (35, 75, 0.5), (36, 50, 0.25), (37, 50, 0.75), (38, 25, 0.75), (39, 25, 0.5), (40, 50, 0.5), (41, 50, 0.5), (42, 75, 0.75), (43, 75, 0.75), (44, 50, 0.75), (45, 50, 0.5), (46, 50, 0.75), (47, 75, 0.75), (48, 75, 0.25), (49, 75, 0.5)]",634.456743731548,655.4378014434619,566.0156148862975
"[(0, 50, 0.25), (1, 75, 0.5), (2, 25, 0.25), (3, 75, 0.25), (4, 25, 0.75), (5, 75, 0.25), (6, 25, 0.75), (7, 50, 0.75), (8, 50, 0.25), (9, 75, 0.5), (10, 75, 0.25), (11, 50, 0.5), (12, 75, 0.75), (13, 50, 0.25), (14, 25, 0.75), (15, 75, 0.5), (16, 25, 0.25), (17, 50, 0.25), (18, 75, 0.75), (19, 75, 0.75), (20, 25, 0.5), (21, 50, 0.75), (22, 75, 0.75), (23, 75, 0.25), (24, 75, 0.5), (25, 75, 0.25), (26, 25, 0.75), (27, 25, 0.25), (28, 75, 0.75), (29, 25, 0.25), (30, 25, 0.75), (31, 75, 0.25), (32, 75, 0.5), (33, 75, 0.25), (34, 75, 0.75), (35, 75, 0.5), (36, 50, 0.25), (37, 25, 0.5), (38, 25, 0.75), (39, 75, 0.5), (40, 50, 0.5), (41, 75, 0.75), (42, 25, 0.25), (43, 50, 0.75), (44, 25, 0.5), (45, 75, 0.5), (46, 25, 0.75), (47, 75, 0.5), (48, 50, 0.25), (49, 50, 0.5)]",569.0134462863259,584.7125782278225,515.6249794813663
"[(0, 50, 0.5), (1, 75, 0.25), (2, 50, 0.5), (3, 50, 0.25), (4, 50, 0.5), (5, 50, 0.75), (6, 25, 0.75), (7, 50, 0.75), (8, 50, 0.5), (9, 50, 0.75), (10, 25, 0.75), (11, 25, 0.5), (12, 25, 0.75), (13, 50, 0.5), (14, 25, 0.75), (15, 25, 0.75), (16, 50, 0.5), (17, 25, 0.5), (18, 50, 0.5), (19, 75, 0.25), (20, 75, 0.75), (21, 25, 0.75), (22, 25, 0.25), (23, 75, 0.5), (24, 25, 0.75), (25, 25, 0.25), (26, 50, 0.5), (27, 50, 0.25), (28, 75, 0.75), (29, 25, 0.25), (30, 25, 0.5), (31, 50, 0.25), (32, 50, 0.5), (33, 50, 0.75), (34, 25, 0.5), (35, 25, 0.25), (36, 75, 0.5), (37, 50, 0.5), (38, 50, 0.75), (39, 25, 0.25), (40, 25, 0.25), (41, 50, 0.5), (42, 50, 0.25), (43, 50, 0.5), (44, 25, 0.5), (45, 50, 0.5), (46, 50, 0.75), (47, 50, 0.5), (48, 75, 0.75), (49, 75, 0.5)]",487.3642111452797,497.91683221273263,436.7187449688325
"[(0, 50, 0.5), (1, 50, 0.5), (2, 25, 0.5), (3, 25, 0.25), (4, 75, 0.25), (5, 50, 0.75), (6, 25, 0.5), (7, 75, 0.75), (8, 75, 0.75), (9, 75, 0.75), (10, 25, 0.5), (11, 50, 0.75), (12, 50, 0.5), (13, 50, 0.25), (14, 25, 0.75), (15, 25, 0.75), (16, 75, 0.5), (17, 75, 0.5), (18, 25, 0.5), (19, 75, 0.25), (20, 25, 0.25), (21, 25, 0.5), (22, 50, 0.75), (23, 50, 0.75), (24, 50, 0.25), (25, 25, 0.5), (26, 25, 0.25), (27, 50, 0.5), (28, 25, 0.75), (29, 75, 0.75), (30, 50, 0.25), (31, 25, 0.75), (32, 75, 0.25), (33, 25, 0.75), (34, 50, 0.5), (35, 25, 0.75), (36, 75, 0.75), (37, 75, 0.5), (38, 75, 0.25), (39, 75, 0.5), (40, 50, 0.5), (41, 25, 0.75), (42, 75, 0.25), (43, 50, 0.5), (44, 75, 0.5), (45, 50, 0.25), (46, 50, 0.25), (47, 50, 0.75), (48, 25, 0.75), (49, 50, 0.75)]",550.1585108744426,564.2289317005773,466.79685785419343
